episode,reward
0,-170.0
100,-180.0
200,-91.35
300,-155.15
400,-70.35
500,-98.35
600,-180.0
700,-102.3
800,-83.6
900,-37.5
1000,-34.1
1100,-51.45
1200,-98.6
1300,-99.1
1400,-109.7
1500,-112.05
1600,-77.9
1700,-108.6
1800,-140.05
1900,-93.25
2000,-77.75
2100,-43.95
2200,-30.85
2300,10.95
2400,27.0
2500,9.6
2600,15.9
2700,22.05
2800,14.55
2900,10.5
3000,23.25
3100,3.75
3200,-4.95
3300,3.45
3400,33.9
3500,3.15
3600,9.0
3700,3.0
3800,-5.85
3900,31.2
4000,13.65
4100,4.8
4200,25.65
4300,9.0
4400,-2.55
4500,14.55
4600,20.7
4700,33.9
4800,3.15
4900,2.5
5000,21.4
5100,29.3
5200,4.8
5300,16.0
5400,22.35
5500,14.95
5600,-3.15
5700,8.5
5800,8.2
5900,1.5
6000,-6.25
6100,-3.0
6200,18.75
6300,4.8
6400,7.2
6500,29.85
6600,26.55
6700,12.6
6800,12.6
6900,9.0
7000,14.05
7100,29.25
7200,9.85
7300,13.65
7400,22.8
7500,18.75
7600,20.55
7700,22.9
7800,-6.7
7900,17.05
8000,17.4
8100,9.45
8200,14.25
8300,3.85
8400,21.45
8500,7.1
8600,22.5
8700,-3.1
8800,-7.65
8900,18.3
9000,-0.9
9100,4.65
9200,0.55
9300,20.1
9400,20.1
9500,21.6
