episode,reward
0,-45.95
100,-48.650000000000006
200,-36.30000000000001
300,-27.44999999999999
400,-18.649999999999977
500,-10.0
600,8.349999999999994
700,0.0
800,30.0
900,-20.0
1000,15.0
1100,5.0
1200,5.0
1300,15.0
1400,25.0
1500,10.0
1600,40.0
1700,-20.0
1800,-20.0
1900,0.0
2000,15.5
2100,50.5
2200,45.0
2300,8.5
2400,19.0
2500,32.5
2600,-13.0
2700,5.0
2800,-2.5
2900,28.05000000000001
3000,-20.0
3100,-10.0
3200,43.44999999999999
3300,15.0
3400,-10.0
3500,3.5
3600,15.0
3700,-15.0
3800,10.0
3900,56.55000000000001
4000,27.55000000000001
4100,15.5
4200,7.5
