T5.K4.652.A98542 K6.QJT976.QT7.Q6 432.A.AKJ93.JT73 AQJ987.8532.84.K:65658888888843433232
T98.AKQT4.K853.8 Q6532.8.AJ2.9753 AK.76532.96.QJ62 J74.J9.QT74.AKT4:66769999333376769999
AJ3.A64.T97.Q543 Q5.T985.AK64.AJ6 K987.J3.532.T987 T642.KQ72.QJ8.K2:99998888AAAAAAAA7777
A74.QJT.KT86.K32 K98.963.AQ93.T54 J632.A754.J54.Q7 QT5.K82.72.AJ986:88887777777776769999
AJ4.975.AQ86.AK8 Q52.A432..JT9762 K9873.QJT.KJT43. T6.K86.9752.Q543:21214131535321218888
Q.AT852.AK643.Q4 AK64.Q96.QJT97.6 J985.J7.82.AK872 T732.K43.5.JT953:65658787656565655555
AKQT972.2.Q953.5 J.AQ9.K762.QT763 6.T87654.AT4.AK9 8543.KJ3.J8.J842:33332121555532328887
AKQT6.3.J876.T43 J875.AJT87.T9.Q6 9.964.AKQ32.K875 432.KQ52.54.AJ92:75755454989842427575
AT7.9842.K5.AKQ5 K83.AQ7.J73.9876 Q92.J63.A964.J43 J654.KT5.QT82.T2:55556666545466664444
AJ95.73.KQT763.3 QT3.AK954.A42.T6 K.QT6.J98.AKJ952 87642.J82.5.Q874:54547777777732325555
Q2.KQJ95.Q4.AQ85 JT76.A873.A7.973 K98.64.KJT932.J6 A543.T2.865.KT42:54447676444443336566
AK95.J4.Q873.AK6 Q2.KT9832.A654.8 7643.76.J2.QT953 JT8.AQ5.KT9.J742:88885555999988886566
K7653.KJT5.7.AJT AJT.764.AK84.K72 Q9842.9.Q63.Q984 .AQ832.JT952.653:77775555888899997676
T6542.QT5.KJ95.K AKQJ97.3.3.QJT53 3.AKJ742.AQ842.8 8.986.T76.A97642:C2C2CBCB22222121CBCB
JT7.9732.632.KQ3 AKQ965.KT.QT8.AT 8432.J865.K97.J7 .AQ4.AJ54.986542:DDDDDDDDAAAADDDDBBBB
J87652.5.A732.Q9 A3.AK73.KJT6.A86 94.QJ9862.984.K5 KQT.T4.Q5.JT7432:BBBB88887777BBBBBBBB
7532.Q762.Q2.A52 K.J43.AJ9754.Q96 Q864.K985.KT6.K4 AJT9.AT.83.JT873:66666666656588889898
AK7653.T3.84.873 QJ2.AKJ84.K.AT92 T9.976.T76532.Q6 84.Q52.AQJ9.KJ54:DBDB8888DBDB9999DBDB
J76.A53.J974.K32 AQ9.KT.865.QJT97 T543.Q72.KQ3.A64 K82.J9864.AT2.85:76766666777776668888
JT6.J54.JT43.642 Q73.KT96.Q9.T983 A982.82.K872.KQJ K54.AQ73.A65.A75:99987777999966669998
94.952.AJ7432.Q8 A532.AT43.Q.A975 K86.Q8.KT86.KT62 QJT7.KJ76.95.J43:66669999999944448888
KQT43.72.K.AQJ82 62.54.J765432.K7 85.AKJT983.AT.95 AJ97.Q6.Q98.T643:21112222211177772222
AQ976.J962.8.A65 84.A4.A964.KQT84 KT532.K3.KJT753. J.QT875.Q2.J9732:65652222777633339999
Q76543.KT4.2.874 K8.Q86.K9753.AT6 AJT9.A532.QT4.32 2.J97.AJ86.KQJ95:A5A544446464BABABABA
QT93.KQ432.K.T72 K872.AJ975.8.K54 J5.T.T97532.Q963 A64.86.AQJ64.AJ8:CCCCAAAABBBB9999AAAA
K54.74.T986.J984 J9.AQT983.52.753 AT32.K652.KJ3.K2 Q876.J.AQ74.AQT6:77778797A9A977778888
K8.54.AT632.K754 Q9754.92.K94.QJ3 AJT6.AKJ3.J85.82 32.QT876.Q7.AT96:43434444555533335555
7653.K9654.K3.72 JT9.AQ2.AQT74.K6 KQ4.8.J92.QJT843 A82.JT73.865.A95:BBBBAAAAA999BBBB8887
K7.Q873.Q5.T8543 A4.JT6.98763.K92 JT632.AK.AJT42.J Q985.9542.K.AQ76:66665555767644446666
